"","State","Deaths","MediaIdentifiedDeaths","AgencyIdentifiedDeaths"
"1","Alabama",8,8,0
"2","Arkansas",1,1,0
"3","Arizona",10,9,1
"4","California",64,60,4
"5","Colorado",7,7,0
"6","Connecticut",2,2,0
"7","Florida",25,25,0
"8","Georgia",14,12,2
"9","Hawaii",2,2,0
"10","Iowa",2,2,0
"11","Idaho",2,2,0
"12","Illinois",11,8,3
"13","Indiana",10,10,0
"14","Kansas",6,6,0
"15","Kentucky",11,10,1
"16","Louisiana",7,7,0
"17","Massachusetts",6,5,1
"18","Maryland",4,3,1
"19","Maine",5,1,4
"20","Michigan",5,5,0
"21","Minnesota",3,3,0
"22","Missouri",12,6,6
"23","Mississipi",3,3,0
"24","Montana",1,1,0
"25","North Carolina",10,10,0
"26","Nebraska",1,1,0
"27","New Hampshire",1,1,0
"28","New Jersey",8,8,0
"29","New Mexico",8,7,1
"30","Nevada",10,9,1
"31","New York",11,11,0
"32","Ohio",16,12,4
"33","Oklahoma",10,10,0
"34","Oregon",7,7,0
"35","Pennsylvania",13,12,1
"36","South Carolina",7,7,0
"37","Tennessee",8,8,0
"38","Texas",58,43,15
"39","Utah",6,6,0
"40","Virginia",7,7,0
"41","Washington",11,8,3
"42","Wisconsin",5,5,0
"43","West Virginia",4,4,0
"44","Wyoming",3,3,0
